sym,ret_10,avg_rng_10,ann_vol_10,eff_10,trend_eff_10,n2_10,n3_10,corr_spy_10,ret_21,avg_rng_21,ann_vol_21,eff_21,trend_eff_21,n2_21,n3_21,corr_spy_21,ret_63,avg_rng_63,ann_vol_63,eff_63,trend_eff_63,n2_63,n3_63,corr_spy_63,mfe10,p5,mfe10r,p5r,last
AAPL,5.613338335236007,2.353912050384564,31.844279840789795,0.37183129356031325,0.4682862534399793,3,2,0.30098268293300995,13.627679736453647,2.7438814575315984,38.261734265579314,0.34824598901969517,0.5414200874705213,7,5,0.01712805021083714,21.793512481933686,2.3343465673997943,28.431583362460323,0.24421644704150283,0.4989158544400597,12.0,7.0,0.20667716595360056,6.423121280275497,80.0,7.267831856998956,95.45454545454545,333.019989
AMD,-6.442130053556605,6.034998807029674,64.54989739566992,0.1771567450298573,0.5176588034113345,7,5,0.5872320398789892,0.4252164625623722,6.018979676022776,72.84590672316,0.03100422938885831,0.4703481402519711,17,12,0.6821208063251473,70.94619824276023,5.782473767679032,86.26529013878765,0.23100437490370984,0.47528323247389803,47.0,39.0,0.7341736448978377,13.304803205927474,100.0,9.758785724823532,100.0,521.95001
AMZN,-5.3925165077035935,2.3335962170381586,32.05965569333337,0.3477565189557935,0.4995194364855376,2,2,0.5234531346384563,-0.922013061851712,2.7344422763916576,30.259622471735785,0.018011969047190476,0.4390819319571128,5,4,0.403806435240271,-9.005018747020388,2.71100928045055,29.820843740947968,0.08759100094021115,0.44998029314359456,17.0,10.0,0.5191038824795569,5.433548322609222,65.0,5.404320385314051,63.63636363636363,232.11
CRWD,-2.0835507043247548,5.117768578703542,71.21101863325433,0.04752451673238719,0.5133481723000145,4,2,0.18058708255738246,8.92989807137976,5.254744733624431,61.07623305275671,0.17469188776485545,0.5040836063555412,11,6,0.34591767155454634,64.60180964996968,4.786036508611713,55.00680852572876,0.3217432233328503,0.4571641128603165,31.0,19.0,0.34224283378334297,16.289282142898493,95.0,10.357372721368527,95.45454545454545,183.28
DIA,-1.335162919748023,0.8953176414668083,8.512749488538516,0.3136347031647321,0.29855161027540056,0,0,0.8867397050238741,0.046283651690037786,0.9157089090539119,8.807759784147777,0.00856602657256516,0.27372519249346844,0,0,0.7262077052516273,5.225154158215006,0.9615945926074302,11.692140015841748,0.14859939928615232,0.41242721812966265,0.0,0.0,0.7398309661737291,2.0034914722880517,0.0,2.0372503621035696,0.0,518.76001
GLD,-1.3554069824299964,1.154881941283311,25.19073610579074,0.10071383707619092,0.40319062851749543,2,0,0.6765636013964422,1.6342314813557302,1.2316326667569677,21.157309720580788,0.07849805611610047,0.3500557468061351,3,0,0.30219876220252256,-13.720308501571132,1.3659961875442492,24.05757831279796,0.18800408427776996,0.3784889696348001,12.0,5.0,0.6917410604901278,4.698038677041464,43.333333333333336,4.081242978143414,36.36363636363637,371.89999
GOOGL,-10.482110154043067,2.8572615309987426,49.220872212853514,0.41959984700576225,0.5602206373990596,4,3,0.6980493025537162,-7.399582744951127,2.793177018649863,40.59123675490774,0.17760568202672278,0.4774852564063617,5,4,0.7205109080703264,-5.650806879789716,2.6919835494456574,38.73069269492876,0.03810085880348817,0.4205189578674422,17.0,10.0,0.5396780545016849,5.867292574504063,66.66666666666666,5.867292574504063,72.72727272727273,319.73999
HYG,-0.6021829130598344,0.19862712926483794,2.827837174321443,0.42830934950628974,0.4251249347412772,0,0,0.7665002158719194,-0.7764558547275979,0.19961456426279328,2.9499963409454613,0.2556456711412432,0.36378437683207027,0,0,0.6590152116642931,-1.4184397163120588,0.24634384843628904,3.996241527205935,0.11528480039253974,0.4257453419750905,0.0,0.0,0.6886701786438452,0.6073044222538775,0.0,0.38781639119695843,0.0,79.23
IWM,-1.6284266910512657,1.1457932387888712,11.56517345013073,0.26640748720724483,0.4987076958409823,0,0,0.7457724222734045,-1.8605244531329057,1.3085921703054655,11.233262619443291,0.14241265618730678,0.4452844247144072,0,0,0.5512306391905554,5.680175873990123,1.5359191592938712,18.333379504533315,0.10281358560840909,0.4374584566856762,5.0,1.0,0.7689704934824617,3.1132069650876444,10.0,1.8936951856616875,4.545454545454546,291.17001
META,-11.060805694451492,3.1816722833666184,31.430097745067044,0.6065293103694381,0.4449663151817672,5,2,0.7223088141286056,6.727997085301252,3.5752124097897977,54.8124904492579,0.1343796825410754,0.45497415632724675,14,6,0.4270246113151199,-9.703408641328714,2.9959162040296596,44.877254292373046,0.061687876101894516,0.444782059548054,25.0,13.0,0.33954619964869037,8.103861982094543,66.66666666666666,10.115528620380008,95.45454545454545,595.19
