Date,gap,ret_cc,ret_oc,range_pct,close_loc,trend_eff,klass,reports,is_event
2026-04-13,-0.0030171753151861935,0.009772401325393698,0.01282828181581075,0.014305433305700591,0.9794223644723172,0.8967419260693621,DIRECTIONAL,,False
2026-04-14,0.002317481497769558,0.012184877266341765,0.009844581133941155,0.010086066523925876,0.9826590848332013,0.9760575255564816,DIRECTIONAL,PPI (Producer Price Index),True
2026-04-15,0.0011519597629248146,0.00789099421446915,0.006731280287500141,0.008755032435128506,0.9440741971243587,0.7688469845630378,DIRECTIONAL,,False
2026-04-16,0.0016001342972253862,0.00245731062662502,0.0008558069233899346,0.006071949024202074,0.7364564705882432,0.14094435246060022,MIXED,,False
2026-04-17,0.006384916044162914,0.012085683041031858,0.00566459900778038,0.009449021297310142,0.6606334841628957,0.5994905535235617,DIRECTIONAL,,False
2026-04-20,-0.0019150871389431723,-0.0019996620103125418,-8.473715039636343e-05,0.005308755945183377,0.684346783520242,0.01596177169780149,QUIET,,False
2026-04-21,0.0022012361243326506,-0.006546948296095034,-0.008728969896563243,0.012191020947243874,0.16666709104840366,0.7160163151501002,MIXED,Retail Sales (Advance),True
2026-04-22,0.00720089034993876,0.010126694165217387,0.002904886049357902,0.004587603570632272,0.9257006105187453,0.6332033717894995,DIRECTIONAL,,False
2026-04-23,-0.0024043811981163676,-0.0038807242901329753,-0.0014799013389710236,0.0141729724224077,0.6121036194588066,0.10441714658466954,CHOP,,False
2026-04-24,0.003246509940764808,0.007749297653337539,0.004488216672529077,0.007706909341422726,0.9029351863383738,0.5823627181399457,DIRECTIONAL,,False
2026-04-27,-0.0010785500182088903,0.0017228058380256428,0.002804380520896377,0.004664271507409608,0.8618562707018946,0.6012472722570653,QUIET,,False
2026-04-28,-0.004684159142138489,-0.004865948092507955,-0.00018264448620930462,0.005075716405210403,0.6721763085399608,0.03598398169405477,QUIET,,False
2026-04-29,-0.0009695232474814519,-0.00015453357501171716,0.0008157805907171856,0.005381570627660941,0.8381231380596846,0.15158782577787303,QUIET,FOMC Rate Decision,True
2026-04-30,0.00428620803602664,0.009949618877719502,0.005639239886374936,0.013125677699607128,0.8790135300220482,0.42963418845365425,CHOP,"GDP, PCE (Personal Income & Outlays)",True
2026-05-01,0.003603971430327313,0.002769112073961688,-0.0008318613518196738,0.006122547774575527,0.040920175544269126,0.13586849502000764,MIXED,,False
